"Region Code","Region","Commodity description","Estimate","Number of agricultural businesses","Type","Category","Process"
201,"Corangamite","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","846.21","120.34","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
201,"Corangamite","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","16221.59","484.17","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
201,"Corangamite","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","785.9","66.59","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
201,"Corangamite","Water source - Town or reticulated mains supply - Total volume used (ML)","2488.48","236.7","Water source","Town or reticulated mains supply ","Total volume used (ML)"
201,"Corangamite","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","134.98","5.37","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
202,"East Gippsland","Water source - Total volume of water from all sources (ML) (b)","19448.19","345.31","Water source","",""
202,"East Gippsland","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","263.44","3.1","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
202,"East Gippsland","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","1438.5","184.03","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
202,"East Gippsland","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","12340.25","141.62","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
202,"East Gippsland","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","12054.53","83.75","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
202,"East Gippsland","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","285.72","57.86","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
202,"East Gippsland","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","5121.36","95.66","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
202,"East Gippsland","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","0.9","1.81","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
202,"East Gippsland","Water source - Town or reticulated mains supply - Total volume used (ML)","283.74","62.29","Water source","Town or reticulated mains supply ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
203,"Glenelg Hopkins","Water source - Total volume of water from all sources (ML) (b)","67527.48","1869","Water source","",""
203,"Glenelg Hopkins","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","49.95","6.17","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
203,"Glenelg Hopkins","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","9911.49","834.81","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
203,"Glenelg Hopkins","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","5729.19","457.08","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
203,"Glenelg Hopkins","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","2792.24","62.56","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
203,"Glenelg Hopkins","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","2936.95","394.52","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
203,"Glenelg Hopkins","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","50705.72","1247.15","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
203,"Glenelg Hopkins","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","993.35","7.74","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
203,"Glenelg Hopkins","Water source - Town or reticulated mains supply - Total volume used (ML)","122.78","65.61","Water source","Town or reticulated mains supply ","Total volume used (ML)"
203,"Glenelg Hopkins","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","15","1","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
204,"Goulburn Broken","Water source - Total volume of water from all sources (ML) (b)","300726.58","1743.31","Water source","",""
204,"Goulburn Broken","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","199674.22","940.65","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
204,"Goulburn Broken","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","7303.95","545.72","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
204,"Goulburn Broken","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","17345.63","271.27","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
204,"Goulburn Broken","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","16321.78","205.89","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
204,"Goulburn Broken","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","1023.86","65.37","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
204,"Goulburn Broken","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","45495.65","418.99","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
204,"Goulburn Broken","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","28611.52","198.44","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
204,"Goulburn Broken","Water source - Town or reticulated mains supply - Total volume used (ML)","1160.36","61.03","Water source","Town or reticulated mains supply ","Total volume used (ML)"
204,"Goulburn Broken","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","1135.26","8.04","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
205,"Mallee","Water source - Total volume of water from all sources (ML) (b)","437768.09","982.67","Water source","",""
205,"Mallee","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","264915.61","556.82","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
205,"Mallee","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","5999.97","86.53","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
205,"Mallee","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","161041.2","199.02","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
205,"Mallee","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","161023.8","198.02","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
205,"Mallee","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","17.4","1","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
205,"Mallee","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","3278.22","58.36","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
205,"Mallee","Water source - Town or reticulated mains supply - Total volume used (ML)","2533.1","128.68","Water source","Town or reticulated mains supply ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
206,"North Central","Water source - Total volume of water from all sources (ML) (b)","322916.98","1782.57","Water source","",""
206,"North Central","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","205689.61","883.74","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
206,"North Central","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","5304.59","428.3","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
206,"North Central","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","35752.09","284.56","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
206,"North Central","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","34243.29","247.39","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
206,"North Central","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","1508.8","43.75","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
206,"North Central","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","73067.08","446.83","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
206,"North Central","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","1770.41","23.66","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
206,"North Central","Water source - Town or reticulated mains supply - Total volume used (ML)","1322.69","181.16","Water source","Town or reticulated mains supply ","Total volume used (ML)"
206,"North Central","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","10.5","2.63","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
207,"North East","Water source - Total volume of water from all sources (ML) (b)","35083.55","777.32","Water source","",""
207,"North East","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","864.4","6.95","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
207,"North East","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","6025.36","416.58","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
207,"North East","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","19794.99","270.59","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
207,"North East","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","18635.67","141.27","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
207,"North East","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","1159.32","129.32","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
207,"North East","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","8242.57","337.57","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
207,"North East","Water source - Town or reticulated mains supply - Total volume used (ML)","53.01","13.28","Water source","Town or reticulated mains supply ","Total volume used (ML)"
207,"North East","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","103.22","12.48","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
208,"Port Phillip and Western Port","Water source - Total volume of water from all sources (ML) (b)","68300.07","1543.39","Water source","",""
208,"Port Phillip and Western Port","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","5978.46","99.75","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
208,"Port Phillip and Western Port","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","14635.87","960.36","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
208,"Port Phillip and Western Port","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","5993.81","272.29","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
208,"Port Phillip and Western Port","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","4629.33","201.18","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
208,"Port Phillip and Western Port","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","1364.48","71.11","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
208,"Port Phillip and Western Port","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","7907.94","387.85","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
208,"Port Phillip and Western Port","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","31430.32","91.81","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
208,"Port Phillip and Western Port","Water source - Town or reticulated mains supply - Total volume used (ML)","2123.18","325.21","Water source","Town or reticulated mains supply ","Total volume used (ML)"
208,"Port Phillip and Western Port","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","230.5","2.29","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
209,"West Gippsland","Water source - Total volume of water from all sources (ML) (b)","191588.79","1389.35","Water source","",""
209,"West Gippsland","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","119376.1","182.26","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
209,"West Gippsland","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","12981.81","848.99","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
209,"West Gippsland","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","14033.08","247.19","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
209,"West Gippsland","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","12626.01","206.16","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
209,"West Gippsland","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","1407.07","47.49","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
209,"West Gippsland","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","40704.66","359.17","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
209,"West Gippsland","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","3936.38","41.9","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
209,"West Gippsland","Water source - Town or reticulated mains supply - Total volume used (ML)","464.76","176.74","Water source","Town or reticulated mains supply ","Total volume used (ML)"
209,"West Gippsland","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","92","3","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
210,"Wimmera","Water source - Total volume of water from all sources (ML) (b)","23786.07","618.18","Water source","",""
210,"Wimmera","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","4967.21","56.09","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
210,"Wimmera","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","1544.48","277.37","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
210,"Wimmera","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","755.1","42.53","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
210,"Wimmera","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","60.2","1","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
210,"Wimmera","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","694.9","41.53","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
210,"Wimmera","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","15117.6","251.91","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
