Region code,Region label,Commodity description,Estimate,Number of agricultural businesses,Type,Category,Process
202,East Gippsland,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",285.72,57.86,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where there is no volumetric/usage charge - Total volume used (ML)
202,East Gippsland,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",5121.36,95.66,Water source ,"Groundwater (e.g. bores, springs, wells) ",Total volume used (ML)
202,East Gippsland,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",0.9,1.81,Water source ,"Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ",Total volume used (ML)
202,East Gippsland,Water source - Town or reticulated mains supply - Total volume used (ML),283.74,62.29,Water source ,Town or reticulated mains supply ,Total volume used (ML)
202,East Gippsland,Water use - Total area watered (ha),7109.61,107.95,Water use ,,
202,East Gippsland,Water use - Total volume applied (ML),16057.36,107.95,Water use ,,
202,East Gippsland,Water use - Total application rate (ML/ha),2.26,..,Water use ,,
202,East Gippsland,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),346918.47,541.49,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Total area grown (ha)
202,East Gippsland,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),1998.44,58.12,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Area watered (ha)
202,East Gippsland,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),6210.18,58.12,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Volume applied (ML)
202,East Gippsland,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),3.11,..,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Application rate (ML/ha)
202,East Gippsland,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",9261.34,241.07,Water use ," Pastures (including lucerne), cereal and other crops cut for hay and silage ",Total area grown (ha)
202,East Gippsland,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),1487.54,48.41,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha)
202,East Gippsland,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),2065.87,48.41,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML)
202,East Gippsland,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),1.39,..,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Application rate (ML/ha)
202,East Gippsland,Water use - Vegetables - Total area grown (ha),2798.79,20.07,Water use ,Vegetables ,Total area grown (ha)
202,East Gippsland,Water use - Vegetables - Area watered (ha),2365.77,15.46,Water use ,Vegetables ,Area watered (ha)
202,East Gippsland,Water use - Vegetables - Volume applied (ML),6563.49,15.46,Water use ,Vegetables ,Volume applied (ML)
202,East Gippsland,Water use - Vegetables - Application rate (ML/ha),2.77,..,Water use ,Vegetables ,Application rate (ML/ha)
202,East Gippsland,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",75.66,5.22,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha)
202,East Gippsland,Water use - Grapevines - Total area grown (ha),84.49,8.83,Water use ,Grapevines ,Total area grown (ha)
202,East Gippsland,Water use - Grapevines - Area watered (ha),75.46,7.03,Water use ,Grapevines ,Area watered (ha)
202,East Gippsland,Water use - Grapevines - Volume applied (ML),64.82,7.03,Water use ,Grapevines ,Volume applied (ML)
202,East Gippsland,Water use - Grapevines - Application rate (ML/ha),0.86,..,Water use ,Grapevines ,Application rate (ML/ha)
202,East Gippsland,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",200.56,9.22,Water use ,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha)
202,East Gippsland,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",158.12,5.61,Water use ,"Nurseries, cut flowers and cultivated turf ",Area watered (ha)
202,East Gippsland,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",596.61,5.61,Water use ,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML)
202,East Gippsland,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",3.77,..,Water use ,"Nurseries, cut flowers and cultivated turf ",Application rate (ML/ha)
202,East Gippsland,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",1617.26,21.95,Water use ,"Cereals for grain or seed, excluding rice ",Total area grown (ha)
202,East Gippsland,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",1019.28,7.71,Water use ,"Cereals for grain or seed, excluding rice ",Area watered (ha)
202,East Gippsland,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",549.39,7.71,Water use ,"Cereals for grain or seed, excluding rice ",Volume applied (ML)
202,East Gippsland,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",0.54,..,Water use ,"Cereals for grain or seed, excluding rice ",Application rate (ML/ha)
202,East Gippsland,Water use - Other crops n.e.c. - Total area grown (ha) (e),193.2,9.92,Water use ,Other crops n.e.c.,Total area grown (ha) (e)
202,East Gippsland,Water use - Other crops n.e.c. - Area watered (ha),5,1,Water use ,Other crops n.e.c.,Area watered (ha)
202,East Gippsland,Water use - Other crops n.e.c. - Volume applied (ML),7,1,Water use ,Other crops n.e.c.,Volume applied (ML)
202,East Gippsland,Water use - Other crops n.e.c. - Application rate (ML/ha),1.4,..,Water use ,Other crops n.e.c.,Application rate (ML/ha)
203,Glenelg Hopkins,Area of holding - Total area (ha) (a),1626634.82,3145.22,Area of holding ,,
203,Glenelg Hopkins,Number of agricultural businesses (no.),3145.22,3145.22,,,
203,Glenelg Hopkins,Number of agricultural businesses irrigating (no.),251.55,251.55,,,
203,Glenelg Hopkins,Water source - Total volume of water from all sources (ML) (b),67527.48,1869,Water source ,,
203,Glenelg Hopkins,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),49.95,6.17,Water source , Water taken from irrigation channels or irrigation pipelines ,Total volume used (ML)
203,Glenelg Hopkins,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),9911.49,834.81,Water source ,Water taken from on farm dams or tanks,Total volume used (ML)
203,Glenelg Hopkins,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",5729.19,457.08,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Total volume used (ML)
203,Glenelg Hopkins,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",2792.24,62.56,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where a volumetric/usage charge occurs - Total volume used (ML)
203,Glenelg Hopkins,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",2936.95,394.52,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where there is no volumetric/usage charge - Total volume used (ML)
203,Glenelg Hopkins,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",50705.72,1247.15,Water source ,"Groundwater (e.g. bores, springs, wells) ",Total volume used (ML)
203,Glenelg Hopkins,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",993.35,7.74,Water source ,"Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ",Total volume used (ML)
203,Glenelg Hopkins,Water source - Town or reticulated mains supply - Total volume used (ML),122.78,65.61,Water source ,Town or reticulated mains supply ,Total volume used (ML)
203,Glenelg Hopkins,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),15,1,Water source ,Other sources of water (excluding rainfall) ,Total volume used (ML)
203,Glenelg Hopkins,Water use - Total area watered (ha),10185.97,251.55,Water use ,,
203,Glenelg Hopkins,Water use - Total volume applied (ML),38611.27,251.55,Water use ,,
203,Glenelg Hopkins,Water use - Total application rate (ML/ha),3.79,..,Water use ,,
203,Glenelg Hopkins,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),1293416.95,3047.53,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Total area grown (ha)
203,Glenelg Hopkins,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),8855.82,222.3,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Area watered (ha)
203,Glenelg Hopkins,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),32655.59,222.3,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Volume applied (ML)
203,Glenelg Hopkins,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),3.69,..,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Application rate (ML/ha)
203,Glenelg Hopkins,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",126265.3,1908.9,Water use ," Pastures (including lucerne), cereal and other crops cut for hay and silage ",Total area grown (ha)
203,Glenelg Hopkins,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),568.17,37.93,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha)
203,Glenelg Hopkins,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),2323.75,37.93,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML)
203,Glenelg Hopkins,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),4.09,..,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Application rate (ML/ha)
203,Glenelg Hopkins,Water use - Vegetables - Total area grown (ha),519.46,19,Water use ,Vegetables ,Total area grown (ha)
203,Glenelg Hopkins,Water use - Vegetables - Area watered (ha),368.97,14.02,Water use ,Vegetables ,Area watered (ha)
203,Glenelg Hopkins,Water use - Vegetables - Volume applied (ML),1294.85,14.02,Water use ,Vegetables ,Volume applied (ML)
203,Glenelg Hopkins,Water use - Vegetables - Application rate (ML/ha),3.51,..,Water use ,Vegetables ,Application rate (ML/ha)
203,Glenelg Hopkins,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",34.13,23.44,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha)
203,Glenelg Hopkins,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",15.11,3.71,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha)
203,Glenelg Hopkins,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",1719.88,3.71,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML)
203,Glenelg Hopkins,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",113.84,..,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Application rate (ML/ha)
203,Glenelg Hopkins,Water use - Grapevines - Total area grown (ha),483.9,38.96,Water use ,Grapevines ,Total area grown (ha)
203,Glenelg Hopkins,Water use - Grapevines - Area watered (ha),154.25,4.93,Water use ,Grapevines ,Area watered (ha)
203,Glenelg Hopkins,Water use - Grapevines - Volume applied (ML),110.39,4.93,Water use ,Grapevines ,Volume applied (ML)
203,Glenelg Hopkins,Water use - Grapevines - Application rate (ML/ha),0.72,..,Water use ,Grapevines ,Application rate (ML/ha)
203,Glenelg Hopkins,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",25.26,7.19,Water use ,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha)
203,Glenelg Hopkins,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",15.85,3.48,Water use ,"Nurseries, cut flowers and cultivated turf ",Area watered (ha)
203,Glenelg Hopkins,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",143.31,3.48,Water use ,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML)
203,Glenelg Hopkins,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",9.04,..,Water use ,"Nurseries, cut flowers and cultivated turf ",Application rate (ML/ha)
203,Glenelg Hopkins,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",118956.31,635.86,Water use ,"Cereals for grain or seed, excluding rice ",Total area grown (ha)
203,Glenelg Hopkins,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",114.93,1.64,Water use ,"Cereals for grain or seed, excluding rice ",Area watered (ha)
203,Glenelg Hopkins,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",131.35,1.64,Water use ,"Cereals for grain or seed, excluding rice ",Volume applied (ML)
203,Glenelg Hopkins,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",1.14,..,Water use ,"Cereals for grain or seed, excluding rice ",Application rate (ML/ha)
203,Glenelg Hopkins,Water use - Other crops n.e.c. - Total area grown (ha) (e),77520.28,479.36,Water use ,Other crops n.e.c.,Total area grown (ha) (e)
203,Glenelg Hopkins,Water use - Other crops n.e.c. - Area watered (ha),92.86,4.64,Water use ,Other crops n.e.c.,Area watered (ha)
203,Glenelg Hopkins,Water use - Other crops n.e.c. - Volume applied (ML),232.16,4.64,Water use ,Other crops n.e.c.,Volume applied (ML)
203,Glenelg Hopkins,Water use - Other crops n.e.c. - Application rate (ML/ha),2.5,..,Water use ,Other crops n.e.c.,Application rate (ML/ha)
204,Goulburn Broken,Area of holding - Total area (ha) (a),1064103.74,3251.81,Area of holding ,,
204,Goulburn Broken,Number of agricultural businesses (no.),3251.81,3251.81,#VALUE!,,
204,Goulburn Broken,Number of agricultural businesses irrigating (no.),1179.14,1179.14,#VALUE!,,
204,Goulburn Broken,Water source - Total volume of water from all sources (ML) (b),300726.58,1743.31,Water source ,,
204,Goulburn Broken,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),199674.22,940.65,Water source , Water taken from irrigation channels or irrigation pipelines ,Total volume used (ML)
204,Goulburn Broken,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),7303.95,545.72,Water source ,Water taken from on farm dams or tanks,Total volume used (ML)
204,Goulburn Broken,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",17345.63,271.27,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Total volume used (ML)
204,Goulburn Broken,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",16321.78,205.89,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where a volumetric/usage charge occurs - Total volume used (ML)
204,Goulburn Broken,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",1023.86,65.37,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where there is no volumetric/usage charge - Total volume used (ML)
204,Goulburn Broken,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",45495.65,418.99,Water source ,"Groundwater (e.g. bores, springs, wells) ",Total volume used (ML)
204,Goulburn Broken,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",28611.52,198.44,Water source ,"Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ",Total volume used (ML)
204,Goulburn Broken,Water source - Town or reticulated mains supply - Total volume used (ML),1160.36,61.03,Water source ,Town or reticulated mains supply ,Total volume used (ML)
204,Goulburn Broken,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),1135.26,8.04,Water source ,Other sources of water (excluding rainfall) ,Total volume used (ML)
204,Goulburn Broken,Water use - Total area watered (ha),96616.67,1179.14,Water use ,,
204,Goulburn Broken,Water use - Total volume applied (ML),277952.84,1179.14,Water use ,,
204,Goulburn Broken,Water use - Total application rate (ML/ha),2.88,..,Water use ,,
204,Goulburn Broken,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),686037.21,2679.98,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Total area grown (ha)
204,Goulburn Broken,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),61666.98,804.14,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Area watered (ha)
204,Goulburn Broken,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),180782.5,804.14,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Volume applied (ML)
204,Goulburn Broken,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),2.93,..,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Application rate (ML/ha)
204,Goulburn Broken,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",117529.38,1495.56,Water use ," Pastures (including lucerne), cereal and other crops cut for hay and silage ",Total area grown (ha)
204,Goulburn Broken,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),18652.9,325.3,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha)
204,Goulburn Broken,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),38684.8,325.3,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML)
204,Goulburn Broken,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),2.07,..,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Application rate (ML/ha)
204,Goulburn Broken,Water use - Vegetables - Total area grown (ha),1105.98,55.34,Water use ,Vegetables ,Total area grown (ha)
204,Goulburn Broken,Water use - Vegetables - Area watered (ha),1022.13,32.47,Water use ,Vegetables ,Area watered (ha)
204,Goulburn Broken,Water use - Vegetables - Volume applied (ML),4567.25,32.47,Water use ,Vegetables ,Volume applied (ML)
204,Goulburn Broken,Water use - Vegetables - Application rate (ML/ha),4.47,..,Water use ,Vegetables ,Application rate (ML/ha)
204,Goulburn Broken,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",9970.84,255.82,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha)
204,Goulburn Broken,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",8922.44,216.87,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha)
204,Goulburn Broken,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",38999.44,216.87,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML)
204,Goulburn Broken,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",4.37,..,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Application rate (ML/ha)
204,Goulburn Broken,Water use - Grapevines - Total area grown (ha),2837.12,89.18,Water use ,Grapevines ,Total area grown (ha)
204,Goulburn Broken,Water use - Grapevines - Area watered (ha),2740.76,56.43,Water use ,Grapevines ,Area watered (ha)
204,Goulburn Broken,Water use - Grapevines - Volume applied (ML),5991.32,56.43,Water use ,Grapevines ,Volume applied (ML)
204,Goulburn Broken,Water use - Grapevines - Application rate (ML/ha),2.19,..,Water use ,Grapevines ,Application rate (ML/ha)
204,Goulburn Broken,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",683.94,36.18,Water use ,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha)
204,Goulburn Broken,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",654.4,26.91,Water use ,"Nurseries, cut flowers and cultivated turf ",Area watered (ha)
204,Goulburn Broken,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",3483.26,26.91,Water use ,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML)
204,Goulburn Broken,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",5.32,..,Water use ,"Nurseries, cut flowers and cultivated turf ",Application rate (ML/ha)
204,Goulburn Broken,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",153164.28,771.54,Water use ,"Cereals for grain or seed, excluding rice ",Total area grown (ha)
204,Goulburn Broken,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",1939.46,39.67,Water use ,"Cereals for grain or seed, excluding rice ",Area watered (ha)
204,Goulburn Broken,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",4005.55,39.67,Water use ,"Cereals for grain or seed, excluding rice ",Volume applied (ML)
204,Goulburn Broken,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",2.07,..,Water use ,"Cereals for grain or seed, excluding rice ",Application rate (ML/ha)
204,Goulburn Broken,Water use - Other crops n.e.c. - Total area grown (ha) (e),59121.34,299.82,Water use ,Other crops n.e.c.,Total area grown (ha) (e)
204,Goulburn Broken,Water use - Other crops n.e.c. - Area watered (ha),1017.59,9.86,Water use ,Other crops n.e.c.,Area watered (ha)
204,Goulburn Broken,Water use - Other crops n.e.c. - Volume applied (ML),1438.71,9.86,Water use ,Other crops n.e.c.,Volume applied (ML)
204,Goulburn Broken,Water use - Other crops n.e.c. - Application rate (ML/ha),1.41,..,Water use ,Other crops n.e.c.,Application rate (ML/ha)
205,Mallee,Area of holding - Total area (ha) (a),2258410.2,1563.22,Area of holding ,,
205,Mallee,Number of agricultural businesses (no.),1563.22,1563.22,,,
205,Mallee,Number of agricultural businesses irrigating (no.),620.79,620.79,,,
205,Mallee,Water source - Total volume of water from all sources (ML) (b),437768.09,982.67,Water source ,,
205,Mallee,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),264915.61,556.82,Water source , Water taken from irrigation channels or irrigation pipelines ,Total volume used (ML)
205,Mallee,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),5999.97,86.53,Water source ,Water taken from on farm dams or tanks,Total volume used (ML)
205,Mallee,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",161041.2,199.02,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Total volume used (ML)
205,Mallee,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",161023.8,198.02,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where a volumetric/usage charge occurs - Total volume used (ML)
205,Mallee,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",17.4,1,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where there is no volumetric/usage charge - Total volume used (ML)
205,Mallee,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",3278.22,58.36,Water source ,"Groundwater (e.g. bores, springs, wells) ",Total volume used (ML)
205,Mallee,Water source - Town or reticulated mains supply - Total volume used (ML),2533.1,128.68,Water source ,Town or reticulated mains supply ,Total volume used (ML)
205,Mallee,Water use - Total area watered (ha),65040.37,620.79,Water use ,,
205,Mallee,Water use - Total volume applied (ML),434020.87,620.79,Water use ,,
205,Mallee,Water use - Total application rate (ML/ha),6.67,..,Water use ,,
205,Mallee,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),292257.39,371.43,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Total area grown (ha)
205,Mallee,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),14709.85,48.8,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Area watered (ha)
205,Mallee,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),3476.18,48.8,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Volume applied (ML)
205,Mallee,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),0.24,..,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Application rate (ML/ha)
205,Mallee,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",105456.85,382.37,Water use ," Pastures (including lucerne), cereal and other crops cut for hay and silage ",Total area grown (ha)
205,Mallee,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),298.17,8.32,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha)
205,Mallee,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),1137.69,8.32,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML)
205,Mallee,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),3.82,..,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Application rate (ML/ha)
205,Mallee,Water use - Vegetables - Total area grown (ha),2771.19,44.96,Water use ,Vegetables ,Total area grown (ha)
205,Mallee,Water use - Vegetables - Area watered (ha),2734.84,43.77,Water use ,Vegetables ,Area watered (ha)
205,Mallee,Water use - Vegetables - Volume applied (ML),14823.81,43.77,Water use ,Vegetables ,Volume applied (ML)
205,Mallee,Water use - Vegetables - Application rate (ML/ha),5.42,..,Water use ,Vegetables ,Application rate (ML/ha)
205,Mallee,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",34937.1,167.12,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha)
205,Mallee,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",34815.91,157.08,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha)
205,Mallee,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",334688.57,157.08,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML)
205,Mallee,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",9.61,..,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Application rate (ML/ha)
205,Mallee,Water use - Grapevines - Total area grown (ha),12610.89,428.37,Water use ,Grapevines ,Total area grown (ha)
205,Mallee,Water use - Grapevines - Area watered (ha),11902.03,420.57,Water use ,Grapevines ,Area watered (ha)
205,Mallee,Water use - Grapevines - Volume applied (ML),78040.14,420.57,Water use ,Grapevines ,Volume applied (ML)
205,Mallee,Water use - Grapevines - Application rate (ML/ha),6.56,..,Water use ,Grapevines ,Application rate (ML/ha)
205,Mallee,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",168.91,15.44,Water use ,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha)
205,Mallee,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",159.85,12.04,Water use ,"Nurseries, cut flowers and cultivated turf ",Area watered (ha)
205,Mallee,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",385.03,12.04,Water use ,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML)
205,Mallee,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",2.41,..,Water use ,"Nurseries, cut flowers and cultivated turf ",Application rate (ML/ha)
205,Mallee,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",1116318.41,848.82,Water use ,"Cereals for grain or seed, excluding rice ",Total area grown (ha)
205,Mallee,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",419.72,2.39,Water use ,"Cereals for grain or seed, excluding rice ",Area watered (ha)
205,Mallee,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",1469.44,2.39,Water use ,"Cereals for grain or seed, excluding rice ",Volume applied (ML)
205,Mallee,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",3.5,..,Water use ,"Cereals for grain or seed, excluding rice ",Application rate (ML/ha)
205,Mallee,Water use - Other crops n.e.c. - Total area grown (ha) (e),299257.96,554.28,Water use ,Other crops n.e.c.,Total area grown (ha) (e)
206,North Central,Area of holding - Total area (ha) (a),1985767.76,3066.81,Area of holding ,,
206,North Central,Number of agricultural businesses (no.),3066.81,3066.81,#VALUE!,,
