"Region Code","Region","Commodity description","Estimate","Number of agricultural businesses","Type","Category","Process"
111,"South East NSW","Water use - Rice - Volume applied (ML)","1426.92","2.97","Water use","Rice ","Volume applied (ML)"
111,"South East NSW","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","23372.56","179.77","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
111,"South East NSW","Water use - Other crops n.e.c. - Total area grown (ha) (e)","21386.07","198.17","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
111,"South East NSW","Water use - Other crops n.e.c. - Area watered (ha)","4.51","2.25","Water use","Other crops n.e.c.","Area watered (ha)"
111,"South East NSW","Water use - Other crops n.e.c. - Volume applied (ML)","5.19","2.25","Water use","Other crops n.e.c.","Volume applied (ML)"
112,"Western","Water use - Total area watered (ha)","np","238.69","Water use","",""
112,"Western","Water use - Total volume applied (ML)","np","238.69","Water use","",""
112,"Western","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","21778204.91","790.07","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
112,"Western","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","2480.76","30.46","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
112,"Western","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","3237.6","30.46","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
112,"Western","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","3312.65","22.14","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
112,"Western","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","np","21.14","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
112,"Western","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","np","21.14","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
112,"Western","Water use - Vegetables - Total area grown (ha)","602.89","24.97","Water use","Vegetables ","Total area grown (ha)"
112,"Western","Water use - Vegetables - Area watered (ha)","602.89","24.97","Water use","Vegetables ","Area watered (ha)"
112,"Western","Water use - Vegetables - Volume applied (ML)","5506.31","24.97","Water use","Vegetables ","Volume applied (ML)"
112,"Western","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","7132.69","72.78","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
112,"Western","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","7019.69","71.78","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
112,"Western","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","58141.62","71.78","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
112,"Western","Water use - Grapevines - Total area grown (ha)","7781.82","154.4","Water use","Grapevines ","Total area grown (ha)"
112,"Western","Water use - Grapevines - Area watered (ha)","7711.79","145.48","Water use","Grapevines ","Area watered (ha)"
112,"Western","Water use - Grapevines - Volume applied (ML)","59166.45","145.48","Water use","Grapevines ","Volume applied (ML)"
112,"Western","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","8.53","2.88","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
112,"Western","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","np","1.88","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
112,"Western","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","np","1.88","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
112,"Western","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","186686.13","158.28","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
112,"Western","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","2094.6","2","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
112,"Western","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","9322.7","2","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
112,"Western","Water use - Cotton - Total area grown (ha) (c)","845","2","Water use","Cotton "," Total area grown (ha) (c)"
112,"Western","Water use - Cotton - Area watered (ha)","845","2","Water use","Cotton ","Area watered (ha)"
112,"Western","Water use - Cotton - Volume applied (ML)","9970.7","2","Water use","Cotton ","Volume applied (ML)"
112,"Western","Water use - Other crops n.e.c. - Total area grown (ha) (e)","6999.58","17.84","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
2,"Victoria","Water use - Total area watered (ha)","397591.61","5123.23","Water use","",""
2,"Victoria","Water use - Total volume applied (ML)","1363108.13","5123.23","Water use","",""
2,"Victoria","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","5879608.23","17267.71","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
2,"Victoria","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","197656.21","2355.64","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
2,"Victoria","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","544855.48","2355.64","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
2,"Victoria","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","935354.05","10370.93","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
2,"Victoria","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","67473.73","945.43","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
2,"Victoria","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","163106.49","945.43","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
2,"Victoria","Water use - Vegetables - Total area grown (ha)","26848.36","743.08","Water use","Vegetables ","Total area grown (ha)"
2,"Victoria","Water use - Vegetables - Area watered (ha)","20340.13","543.31","Water use","Vegetables ","Area watered (ha)"
2,"Victoria","Water use - Vegetables - Volume applied (ML)","73070.73","543.31","Water use","Vegetables ","Volume applied (ML)"
2,"Victoria","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","55567.28","983.63","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
2,"Victoria","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","52658.13","762.97","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
2,"Victoria","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","404229.33","762.97","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
2,"Victoria","Water use - Grapevines - Total area grown (ha)","24524.65","1068.53","Water use","Grapevines ","Total area grown (ha)"
2,"Victoria","Water use - Grapevines - Area watered (ha)","21534.41","858.38","Water use","Grapevines ","Area watered (ha)"
2,"Victoria","Water use - Grapevines - Volume applied (ML)","98785.25","858.38","Water use","Grapevines ","Volume applied (ML)"
2,"Victoria","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","6005.04","490.41","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
2,"Victoria","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","3865.29","368.22","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
2,"Victoria","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","11465.81","368.22","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
2,"Victoria","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","2665629.78","5495.54","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
2,"Victoria","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","22035.92","137.86","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
2,"Victoria","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","38069.07","137.86","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
2,"Victoria","Water use - Other crops n.e.c. - Total area grown (ha) (e)","943240.63","3437.45","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
2,"Victoria","Water use - Other crops n.e.c. - Area watered (ha)","12027.78","84.36","Water use","Other crops n.e.c.","Area watered (ha)"
2,"Victoria","Water use - Other crops n.e.c. - Volume applied (ML)","29525.97","84.36","Water use","Other crops n.e.c.","Volume applied (ML)"
201,"Corangamite","Water use - Total area watered (ha)","7215.17","279.23","Water use","",""
201,"Corangamite","Water use - Total volume applied (ML)","24058.44","279.23","Water use","",""
201,"Corangamite","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","516686.21","1974.8","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
201,"Corangamite","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","4164.49","141.41","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
201,"Corangamite","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","17135.85","141.41","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
201,"Corangamite","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","95050.84","1292.14","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
201,"Corangamite","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","357.76","13.31","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
201,"Corangamite","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","650.19","13.31","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
201,"Corangamite","Water use - Vegetables - Total area grown (ha)","2111.87","86.35","Water use","Vegetables ","Total area grown (ha)"
201,"Corangamite","Water use - Vegetables - Area watered (ha)","1992.58","73","Water use","Vegetables ","Area watered (ha)"
201,"Corangamite","Water use - Vegetables - Volume applied (ML)","5557.2","73","Water use","Vegetables ","Volume applied (ML)"
201,"Corangamite","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","74.87","20.84","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
201,"Corangamite","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","49.05","15.14","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
201,"Corangamite","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","26.47","15.14","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
201,"Corangamite","Water use - Grapevines - Total area grown (ha)","406.06","46","Water use","Grapevines ","Total area grown (ha)"
201,"Corangamite","Water use - Grapevines - Area watered (ha)","300.39","32.11","Water use","Grapevines ","Area watered (ha)"
201,"Corangamite","Water use - Grapevines - Volume applied (ML)","173.08","32.11","Water use","Grapevines ","Volume applied (ML)"
201,"Corangamite","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","526.78","26.15","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
201,"Corangamite","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","294.73","18.86","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
201,"Corangamite","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","314.97","18.86","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
201,"Corangamite","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","110935.62","478.94","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
201,"Corangamite","Water use - Other crops n.e.c. - Total area grown (ha) (e)","60693.01","324.11","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
201,"Corangamite","Water use - Other crops n.e.c. - Area watered (ha)","56.17","2.96","Water use","Other crops n.e.c.","Area watered (ha)"
201,"Corangamite","Water use - Other crops n.e.c. - Volume applied (ML)","200.68","2.96","Water use","Other crops n.e.c.","Volume applied (ML)"
202,"East Gippsland","Water use - Total area watered (ha)","7109.61","107.95","Water use","",""
202,"East Gippsland","Water use - Total volume applied (ML)","16057.36","107.95","Water use","",""
202,"East Gippsland","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","346918.47","541.49","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
202,"East Gippsland","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","1998.44","58.12","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
202,"East Gippsland","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","6210.18","58.12","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
202,"East Gippsland","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","9261.34","241.07","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
202,"East Gippsland","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","1487.54","48.41","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
202,"East Gippsland","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","2065.87","48.41","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
202,"East Gippsland","Water use - Vegetables - Total area grown (ha)","2798.79","20.07","Water use","Vegetables ","Total area grown (ha)"
202,"East Gippsland","Water use - Vegetables - Area watered (ha)","2365.77","15.46","Water use","Vegetables ","Area watered (ha)"
202,"East Gippsland","Water use - Vegetables - Volume applied (ML)","6563.49","15.46","Water use","Vegetables ","Volume applied (ML)"
202,"East Gippsland","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","75.66","5.22","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
202,"East Gippsland","Water use - Grapevines - Total area grown (ha)","84.49","8.83","Water use","Grapevines ","Total area grown (ha)"
202,"East Gippsland","Water use - Grapevines - Area watered (ha)","75.46","7.03","Water use","Grapevines ","Area watered (ha)"
202,"East Gippsland","Water use - Grapevines - Volume applied (ML)","64.82","7.03","Water use","Grapevines ","Volume applied (ML)"
202,"East Gippsland","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","200.56","9.22","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
202,"East Gippsland","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","158.12","5.61","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
202,"East Gippsland","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","596.61","5.61","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
202,"East Gippsland","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","1617.26","21.95","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
202,"East Gippsland","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","1019.28","7.71","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
202,"East Gippsland","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","549.39","7.71","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
202,"East Gippsland","Water use - Other crops n.e.c. - Total area grown (ha) (e)","193.2","9.92","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
202,"East Gippsland","Water use - Other crops n.e.c. - Area watered (ha)","5","1","Water use","Other crops n.e.c.","Area watered (ha)"
202,"East Gippsland","Water use - Other crops n.e.c. - Volume applied (ML)","7","1","Water use","Other crops n.e.c.","Volume applied (ML)"
203,"Glenelg Hopkins","Water use - Total area watered (ha)","10185.97","251.55","Water use","",""
203,"Glenelg Hopkins","Water use - Total volume applied (ML)","38611.27","251.55","Water use","",""
203,"Glenelg Hopkins","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","1293416.95","3047.53","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
203,"Glenelg Hopkins","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","8855.82","222.3","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
203,"Glenelg Hopkins","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","32655.59","222.3","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
203,"Glenelg Hopkins","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","126265.3","1908.9","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
203,"Glenelg Hopkins","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","568.17","37.93","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
203,"Glenelg Hopkins","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","2323.75","37.93","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
203,"Glenelg Hopkins","Water use - Vegetables - Total area grown (ha)","519.46","19","Water use","Vegetables ","Total area grown (ha)"
203,"Glenelg Hopkins","Water use - Vegetables - Area watered (ha)","368.97","14.02","Water use","Vegetables ","Area watered (ha)"
203,"Glenelg Hopkins","Water use - Vegetables - Volume applied (ML)","1294.85","14.02","Water use","Vegetables ","Volume applied (ML)"
203,"Glenelg Hopkins","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","34.13","23.44","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
203,"Glenelg Hopkins","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","15.11","3.71","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
203,"Glenelg Hopkins","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","1719.88","3.71","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
203,"Glenelg Hopkins","Water use - Grapevines - Total area grown (ha)","483.9","38.96","Water use","Grapevines ","Total area grown (ha)"
203,"Glenelg Hopkins","Water use - Grapevines - Area watered (ha)","154.25","4.93","Water use","Grapevines ","Area watered (ha)"
203,"Glenelg Hopkins","Water use - Grapevines - Volume applied (ML)","110.39","4.93","Water use","Grapevines ","Volume applied (ML)"
203,"Glenelg Hopkins","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","25.26","7.19","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
203,"Glenelg Hopkins","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","15.85","3.48","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
203,"Glenelg Hopkins","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","143.31","3.48","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
203,"Glenelg Hopkins","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","118956.31","635.86","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
203,"Glenelg Hopkins","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","114.93","1.64","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
203,"Glenelg Hopkins","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","131.35","1.64","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
203,"Glenelg Hopkins","Water use - Other crops n.e.c. - Total area grown (ha) (e)","77520.28","479.36","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
203,"Glenelg Hopkins","Water use - Other crops n.e.c. - Area watered (ha)","92.86","4.64","Water use","Other crops n.e.c.","Area watered (ha)"
203,"Glenelg Hopkins","Water use - Other crops n.e.c. - Volume applied (ML)","232.16","4.64","Water use","Other crops n.e.c.","Volume applied (ML)"
204,"Goulburn Broken","Water use - Total area watered (ha)","96616.67","1179.14","Water use","",""
204,"Goulburn Broken","Water use - Total volume applied (ML)","277952.84","1179.14","Water use","",""
204,"Goulburn Broken","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","686037.21","2679.98","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
204,"Goulburn Broken","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","61666.98","804.14","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
204,"Goulburn Broken","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","180782.5","804.14","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
204,"Goulburn Broken","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","117529.38","1495.56","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
204,"Goulburn Broken","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","18652.9","325.3","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
204,"Goulburn Broken","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","38684.8","325.3","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
204,"Goulburn Broken","Water use - Vegetables - Total area grown (ha)","1105.98","55.34","Water use","Vegetables ","Total area grown (ha)"
204,"Goulburn Broken","Water use - Vegetables - Area watered (ha)","1022.13","32.47","Water use","Vegetables ","Area watered (ha)"
204,"Goulburn Broken","Water use - Vegetables - Volume applied (ML)","4567.25","32.47","Water use","Vegetables ","Volume applied (ML)"
204,"Goulburn Broken","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","9970.84","255.82","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
204,"Goulburn Broken","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","8922.44","216.87","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
204,"Goulburn Broken","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","38999.44","216.87","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
204,"Goulburn Broken","Water use - Grapevines - Total area grown (ha)","2837.12","89.18","Water use","Grapevines ","Total area grown (ha)"
204,"Goulburn Broken","Water use - Grapevines - Area watered (ha)","2740.76","56.43","Water use","Grapevines ","Area watered (ha)"
204,"Goulburn Broken","Water use - Grapevines - Volume applied (ML)","5991.32","56.43","Water use","Grapevines ","Volume applied (ML)"
204,"Goulburn Broken","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","683.94","36.18","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
204,"Goulburn Broken","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","654.4","26.91","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
204,"Goulburn Broken","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","3483.26","26.91","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
204,"Goulburn Broken","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","153164.28","771.54","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
204,"Goulburn Broken","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","1939.46","39.67","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
204,"Goulburn Broken","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","4005.55","39.67","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
204,"Goulburn Broken","Water use - Other crops n.e.c. - Total area grown (ha) (e)","59121.34","299.82","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
204,"Goulburn Broken","Water use - Other crops n.e.c. - Area watered (ha)","1017.59","9.86","Water use","Other crops n.e.c.","Area watered (ha)"
204,"Goulburn Broken","Water use - Other crops n.e.c. - Volume applied (ML)","1438.71","9.86","Water use","Other crops n.e.c.","Volume applied (ML)"
205,"Mallee","Water use - Total area watered (ha)","65040.37","620.79","Water use","",""
205,"Mallee","Water use - Total volume applied (ML)","434020.87","620.79","Water use","",""
205,"Mallee","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","292257.39","371.43","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
205,"Mallee","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","14709.85","48.8","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
205,"Mallee","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","3476.18","48.8","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
205,"Mallee","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","105456.85","382.37","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
205,"Mallee","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","298.17","8.32","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
205,"Mallee","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","1137.69","8.32","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
205,"Mallee","Water use - Vegetables - Total area grown (ha)","2771.19","44.96","Water use","Vegetables ","Total area grown (ha)"
205,"Mallee","Water use - Vegetables - Area watered (ha)","2734.84","43.77","Water use","Vegetables ","Area watered (ha)"
205,"Mallee","Water use - Vegetables - Volume applied (ML)","14823.81","43.77","Water use","Vegetables ","Volume applied (ML)"
205,"Mallee","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","34937.1","167.12","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
205,"Mallee","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","34815.91","157.08","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
205,"Mallee","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","334688.57","157.08","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
205,"Mallee","Water use - Grapevines - Total area grown (ha)","12610.89","428.37","Water use","Grapevines ","Total area grown (ha)"
205,"Mallee","Water use - Grapevines - Area watered (ha)","11902.03","420.57","Water use","Grapevines ","Area watered (ha)"
205,"Mallee","Water use - Grapevines - Volume applied (ML)","78040.14","420.57","Water use","Grapevines ","Volume applied (ML)"
205,"Mallee","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","168.91","15.44","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
205,"Mallee","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","159.85","12.04","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
205,"Mallee","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","385.03","12.04","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
205,"Mallee","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","1116318.41","848.82","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
205,"Mallee","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","419.72","2.39","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
